Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Family,Female,0 to 3 months,I do not practice running,,Road,,,Beginner,,,,,,,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Comfortable,price,simplicity,<50 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,Price,,,,Strongly Agree,,,,,,,I knew they were the most comfortable,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Disagree,46-55 years,Looking for a job,Yes
Mature Professional,Male,4 to 6 months,5 times a week or more,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,,,,To have 2 pairs.,Light,comfort,nice,Between 100 and 150 €,Online,Searches Online,,,,,,no preference,"Store brand, eg. Nike",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,no frustration,,,,,,,Presentation of unclear shoes,,,,Limited product selection,,,,Agree,55+,Employee,No
Mature Family,Female,0 to 3 months,1 to 2 times per month,,,Trail,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Flexible,good,cushioning,Between 50 and 100 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,Too many options to choose from,,,,Differentiate between the different models of running shoes,,,Making the difference between products with different prices,,,Not knowing exactly where to find the radius of running shoes,,,,Too many options to choose from,,,Strongly Agree,46-55 years,Employee,Yes
Young Professional,Female,7 to 12 months,I do not practice running,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Flexibility,,,Between 50 and 100 €,At the store,,Visit store,,,,,"Store brand, eg. Nike, Adidas","Multibrand store, eg. Go Sport and Decathlon",,,Durability,Shock absorption,,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,Strongly Agree,23-30 years,Employed part time,No
Young Professional,Male,4 to 6 months,3 to 4 times a week,,Road,,Track,Advanced,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfort,/,reliability,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,,,,,,,Too many options to choose from,,,,,,,,,,,,,,,no frustration,,Agree,23-30 years,Employee,No
Mature Family,Male,4 to 6 months,1 to 2 times per week,Sports Hall,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Cushioning,Stability,Comfort,Between 150 and 200 €,At the store,Searches Online,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,,,,,Nothing is as good as trying them on. Visiting a store remains essential.,,,,,,,,,,,,no frustration,,Agree,37-45 years,Employee,Yes
Mature Student,Male,0 to 3 months,3 to 4 times a week,,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Light,comfortable,elegant,Between 50 and 100 €,Online,Searches Online,,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,Bounce and cushioning,,,,,Agree,,,,,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,Differentiate between different brands of running shoes,,,,,,Too many options to choose from,,,,,,,,,,,,,Limited product selection,,,,Strongly Agree,23-30 years,Student,No
Mature Family,Male,0 to 3 months,3 to 4 times a week,,Road,Trail,Track,Intermediate,,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Cushioning,stability,and,Between 150 and 200 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,Bounce and cushioning,,Fit and comfort,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Agree,46-55 years,Employee,Yes
Full Time Student,Male,0 to 3 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,I plan to run more often.,,I want to race.,,,Cushioning,flexibility,comfort,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,,,,Bounce and cushioning,,Fit and comfort,,,Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,,,,,,,,,,,,,,,,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,16-22 years,Student,No
Empty Nester,Male,0 to 3 months,1 to 2 times per month,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,light,quality,<50 €,At the store,,Visit store,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,,,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Strongly Agree,55+,Employee,Yes
Mature Professional,Female,More than 12 months,1 to 2 times per week,Sports Hall,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,nice,looking,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,Differences in language different websites in terms of product description,,,,,,,,,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,31-36 years,Employee,No
Mature Family,Male,7 to 12 months,1 to 2 times per month,Sports Hall,,,,Intermediate,,,,,,,,,,"I like to collect new equipment, clothes, shoes, etc.",,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfort,effective,price,Between 100 and 150 €,Online,Searches Online,Visit store,,,,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,,Shock absorption,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,,,,,,,Too many options to choose from,,,,,,,Making the difference between products with different prices,,,,,,Limited product selection,,,,Strongly Disagree,46-55 years,Employed part time,Yes
Mature Professional,Female,0 to 3 months,5 times a week or more,,,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Flexible,light,comfortable,Over 200 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,Finding a suitable product for my personal needs,,Staff poor knowledge about products,,,,,Limited product selection,,,,Strongly Disagree,31-36 years,Employee,No
Young Professional,Female,7 to 12 months,1 to 2 times per week,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Light,good,cushioning,Between 50 and 100 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,no frustration,,,,,Making the difference between products with different prices,,,,,,,,,,Disagree,23-30 years,Employee,No
Mature Family,Female,7 to 12 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,,,,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Light,cushioning,comfortable,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,Price,,,,Disagree,,,,,It was clear that they corresponded best to my needs,,,,,,,,Making the difference between products with different prices,,,,,,,,,,,Making the difference between products with different prices,Staff poor knowledge about products,,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Professional,Male,7 to 12 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Cushioning,technique,colourful,Between 100 and 150 €,Online,,,,research online and in-store visit,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",Color / Design,,Durability,,,,Bounce and cushioning,,,,,Strongly Agree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Agree,55+,Employee,No
Empty Nester,Female,0 to 3 months,1 to 2 times per month,,Road,,,Beginner,,,,,,,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Sturdiness,Lightness,Not,<50 €,At the store,,,,,no research,,"Store brand, eg. Nike, Adidas","Multibrand store, eg. Go Sport and Decathlon",,,Durability,Shock absorption,,,Bounce and cushioning,,,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,,,,,,Too many options to choose from,,,Problem with the sole size,,,,,,,,,,,,no frustration,,Disagree,55+,Employee,Yes
